Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
2806,-188.695,151.494,135.68,-184.126,144.263,120.703,-180.482,126.948,103.535,-193.276,135.251,85.7732,-184.031,120.815,83.936,-19.452,-435.35,-292.57,524.5253353,-3276.47,4096.11,-2977.85,-5064.159136
2807,-188.249,151.007,135.221,-183.898,143.639,119.97,-180.702,125.414,102.608,-193.532,132.157,84.0841,-184.517,117.26,80.5406,-48.6657,-355.569,-339.539,491.6462613,-2921.37,7978.16,-4696.85,-9258.047143
2808,-187.749,150.368,134.828,-183.801,142.914,119.265,-181.027,124.098,101.568,-193.642,129.768,82.0835,-185.005,114.363,76.6654,-48.7536,-289.688,-387.522,483.8310013,-8.79169,6588.03,-4798.32,-8150.215586
2809,-187.351,149.643,134.372,-183.824,142.12,118.557,-181.499,123.053,100.574,-193.666,128.127,80.0505,-185.909,112.291,72.7715,-90.3562,-207.188,-389.385,441.075442,-4160.26,8250.03,-186.339,-8252.134101
2810,-187.015,148.907,133.868,-183.892,141.32,117.863,-182.257,122.377,99.6065,-193.956,127.202,78.28,-187.194,111.075,69.4895,-128.5,-121.604,-328.206,350.0095874,-3814.4,8558.41,6117.97,-10520.26324
2811,-186.699,148.243,133.396,-183.977,140.663,117.208,-183.042,121.897,98.6845,-194.719,126.77,76.8678,-188.905,110.6,66.971,-171.135,-47.5325,-251.842,256.2883757,-4263.52,7407.14,7636.32,-10638.56692
2812,-186.45,147.698,132.884,-183.985,140.126,116.614,-183.832,121.659,97.7644,-195.652,126.653,75.796,-190.58,110.463,65.1007,-167.492,-13.6249,-187.031,187.5266191,364.333,3390.76,6481.11,-7314.508884
2813,-186.24,147.279,132.422,-183.991,139.724,116.014,-184.496,121.44,96.9951,-196.455,126.829,75.1424,-192.051,110.581,63.8801,-147.092,11.7637,-122.063,-122.6285473,2039.97,2538.86,6496.83,-6975.285668
2814,-186.027,146.948,132.048,-183.909,139.343,115.582,-184.857,121.188,96.5889,-196.898,126.716,74.7474,-192.895,110.79,62.7712,-84.3793,20.9004,-110.894,-112.8463821,6271.3,913.665,1116.92,-1443.015599
2815,-185.814,146.719,131.815,-183.753,139.119,115.321,-184.68,120.878,96.5904,-196.805,126.849,74.9146,-193.022,111.3,62.5143,-12.7107,51.0149,-25.6903,-57.11839928,7166.86,3011.45,8520.33,-9036.860872
2816,-185.544,146.632,131.764,-183.358,138.939,115.419,-184.337,120.687,96.9576,-196.38,127.001,75.4549,-192.881,111.716,62.5783,14.0876,41.6383,6.40824,-42.12853625,2679.82,-937.656,3209.86,3344.009568
2817,-185.271,146.722,131.843,-182.909,138.94,115.682,-184.111,120.545,97.2892,-196.079,127.213,75.8076,-192.789,112.214,62.5718,9.1821,49.7349,-0.656396,-49.73923133,-490.546,809.655,-706.464,-1074.538321
2818,-184.969,146.786,132.04,-182.494,138.973,115.928,-183.996,120.62,97.4256,-195.896,127.598,75.9518,-192.738,112.85,62.4941,5.07832,63.6652,-7.76686,-64.13721077,-410.378,1393.04,-711.046,-1564.016258
2819,-184.725,146.83,132.131,-182.279,139.003,115.965,-183.941,120.744,97.4707,-195.781,128.016,76.115,-192.641,113.434,62.4633,9.68874,58.4044,-3.08268,-58.48569787,461.042,-526.086,468.418,704.4018045
2820,-184.441,146.918,132.143,-182.101,139.093,115.937,-183.884,120.924,97.4727,-195.659,128.431,76.2284,-192.627,113.98,62.471,1.4022,54.5807,0.77039,-54.58613664,-828.654,-382.364,385.307,542.8293588
2821,-184.16,147.048,132.181,-181.916,139.272,115.988,-183.759,121.162,97.4803,-195.618,128.85,76.3889,-192.595,114.539,62.4818,3.20822,55.9002,1.0848,-55.91072483,180.602,131.95,31.4415,-135.644279
2822,-183.929,147.205,132.354,-181.684,139.506,116.112,-183.703,121.493,97.5874,-195.46,129.352,76.5405,-192.62,115.173,62.4867,-2.43038,63.3702,0.488758,-63.3720848,-563.86,746.995,-59.6046,-749.369227
2823,-183.739,147.37,132.54,-181.521,139.756,116.268,-183.601,121.842,97.6485,-195.395,129.823,76.7008,-192.595,115.803,62.5022,2.42889,63.0058,1.54898,-63.02483774,485.927,-36.4333,106.022,112.1073139
2824,-183.584,147.513,132.688,-181.444,139.94,116.407,-183.481,122.056,97.7347,-195.264,130.354,76.8478,-192.504,116.407,62.5321,9.10461,60.3877,2.9929,-60.46182069,667.572,-261.813,144.392,298.990128
2825,-183.466,147.55,132.797,-181.346,140.029,116.518,-183.506,122.283,97.8075,-195.192,130.829,77.0009,-192.469,117.022,62.5792,3.55095,61.5232,4.711,-61.70330347,-555.366,113.547,171.81,-205.9407617
2826,-183.384,147.527,132.92,-181.291,140.048,116.614,-183.506,122.419,97.8622,-195.107,131.259,77.1743,-192.43,117.608,62.6085,3.89218,58.5765,2.9251,-58.64948902,34.1237,-294.67,-178.59,344.5646485
2827,-183.366,147.462,133.035,-181.233,140.049,116.709,-183.478,122.571,97.8918,-195.083,131.65,77.3161,-192.423,118.18,62.6395,0.624359,57.251,3.09572,-57.33463598,-326.782,-132.546,17.0618,133.6396166
2828,-183.328,147.392,133.152,-181.203,140.047,116.77,-183.476,122.696,97.9038,-195.004,132.031,77.48,-192.319,118.672,62.6715,10.4144,49.1694,3.20598,-49.2738085,979.006,-808.164,11.0269,808.2392241
2829,-183.336,147.384,133.247,-181.166,140.075,116.848,-183.481,122.88,97.9118,-195.09,132.412,77.5775,-192.383,119.201,62.6813,-6.41495,52.847,0.981241,-52.85610885,-1682.94,367.761,-222.474,-429.8172097
2830,-183.408,147.438,133.344,-181.114,140.171,116.926,-183.532,123.106,97.923,-195.061,132.791,77.6676,-192.375,119.722,62.7085,0.89705,52.1347,2.71648,-52.20542316,731.2,-71.2276,173.524,187.573851
2831,-183.473,147.526,133.424,-181.218,140.337,116.995,-183.557,123.374,97.9109,-195.193,133.232,77.7743,-192.403,120.251,62.7372,-2.81036,52.8961,2.87592,-52.97422308,-370.741,76.1449,15.9442,-77.79629368
2832,-183.553,147.686,133.503,-181.274,140.476,117.039,-183.607,123.611,97.9327,-195.14,133.653,77.8772,-192.401,120.762,62.7936,0.177324,51.1259,5.63562,-51.43557002,298.768,-177.026,275.97,327.8683357
2833,-183.636,147.821,133.613,-181.371,140.702,117.134,-183.674,123.968,97.9329,-195.167,134.116,78.0038,-192.414,121.361,62.8002,-1.28597,59.9302,0.657886,-59.93381088,-146.329,880.435,-497.773,-1011.406817
2834,-183.762,147.957,133.737,-181.465,140.933,117.258,-183.639,124.279,97.9727,-195.254,134.65,78.0814,-192.404,121.99,62.8364,0.977516,62.8755,3.62024,-62.97963669,226.349,294.521,296.235,-417.7293318
2835,-183.86,148.151,133.894,-181.524,141.232,117.335,-183.723,124.707,97.9892,-195.283,135.163,78.1674,-192.457,122.648,62.8681,-5.2616,65.7924,3.16799,-65.86862727,-623.912,291.69,-45.225,-295.1751289
2836,-183.905,148.426,133.983,-181.596,141.494,117.437,-183.741,125.075,98.0121,-195.333,135.694,78.254,-192.512,123.303,62.9205,-5.54174,65.5286,5.24223,-65.73795246,-28.0142,-26.3751,207.424,209.0941455
2837,-183.937,148.647,134.076,-181.578,141.808,117.522,-183.775,125.502,98.0074,-195.371,136.212,78.3127,-192.484,123.869,62.951,2.79695,56.5864,3.05399,-56.66875259,833.869,-894.219,-218.824,920.6039121
2838,-183.921,148.868,134.244,-181.585,142.137,117.618,-183.785,125.878,98.0366,-195.416,136.72,78.3941,-192.432,124.409,62.9851,5.23776,53.9482,3.41013,-54.05587174,244.081,-263.825,35.6138,266.2179058
2839,-183.906,149.102,134.337,-181.479,142.346,117.735,-183.775,126.23,98.0774,-195.357,137.136,78.501,-192.508,124.981,63.0124,-7.60257,57.2167,2.72542,-57.28157359,-1284.03,326.857,-68.4708,-333.9517164
2840,-183.876,149.309,134.431,-181.558,142.623,117.813,-183.721,126.537,98.1034,-195.365,137.603,78.5895,-192.47,125.497,63.0406,3.73721,51.6541,2.82153,-51.73110359,1133.98,-556.26,9.61125,556.343027
2841,-183.77,149.506,134.497,-181.443,142.854,117.848,-183.741,126.858,98.1144,-195.346,138.008,78.7146,-192.434,125.989,63.0954,3.59267,49.1977,5.48214,-49.50219737,-14.4541,-245.646,266.06,362.1186006
2842,-183.656,149.647,134.568,-181.369,143.028,117.909,-183.694,127.126,98.1133,-195.313,138.457,78.8046,-192.425,126.576,63.1296,0.89556,58.6361,3.41833,-58.7356553,-269.711,943.84,-206.381,-966.1402914
2843,-183.577,149.748,134.622,-181.257,143.128,117.952,-183.644,127.381,98.0833,-195.328,138.935,78.9039,-192.452,127.2,63.1475,-2.66582,62.3986,1.79186,-62.42432254,-356.138,376.254,-162.646,-409.9033957
