Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
1455,262.51,373.938,123.245,260.382,379.081,107.22,255.626,365.441,90.3233,249.133,391.596,78.0755,238.011,397.526,64.1742,167.969,129.578,25.5659,0,-1865.03,1291.63,565.797,0
1456,262.869,374.986,123.693,260.629,380.399,107.784,256.421,366.807,90.7414,250.183,393.043,78.7251,239.569,398.717,64.6451,155.744,119.123,47.0899,-128.0927313,-1222.49,-1045.47,2152.4,0
1457,263.144,376.133,124.249,260.819,381.794,108.437,257.177,368.35,91.3134,251.305,394.534,79.6751,241.403,399.858,65.4948,183.417,114.107,84.9694,-142.2680793,2767.29,-501.573,3787.95,3821.013043
1458,263.351,377.325,124.826,260.971,383.26,109.167,257.75,369.839,92.0954,252.541,396.05,80.9534,243.491,400.797,66.7595,208.773,93.8654,126.464,-157.4924018,2535.58,-2024.17,4149.45,4616.83869
1459,263.487,378.532,125.541,261.123,384.731,109.987,258.327,371.345,92.9435,253.975,397.609,82.3509,245.814,401.348,68.416,232.343,55.1224,165.65,-174.5806446,2357.07,-3874.3,3918.56,5510.473025
1460,263.465,379.715,126.348,261.214,386.119,110.873,258.927,372.834,93.8542,255.397,399.124,83.9854,248.374,401.437,70.648,255.992,8.91387,223.204,-223.3819211,2364.81,-4620.85,5755.5,7380.923721
1461,263.48,380.839,127.141,261.386,387.447,111.857,259.582,374.359,94.844,256.6,400.594,85.7076,250.992,401.279,73.3899,261.845,-15.7505,274.19,274.6420113,585.318,-2466.44,5098.51,5663.755865
1462,263.48,381.975,127.98,261.564,388.681,112.946,260.079,375.813,95.9251,257.64,401.999,87.4889,253.476,401.117,76.4768,248.373,-16.2274,308.686,309.1122371,-1347.21,-47.6837,3449.62,3449.949547
1463,263.413,383.104,128.824,261.698,389.934,114.118,260.47,377.524,97.063,258.535,403.328,89.2701,255.689,401.115,79.7494,221.279,-0.220537,327.263,327.2630743,-2709.33,1600.68,1857.73,-2452.210679
1464,263.342,384.229,129.677,261.73,391.212,115.428,260.632,379.226,98.4021,259.337,404.56,91.0121,257.552,401.36,83.0681,186.276,24.4677,331.873,-332.7737316,-3500.28,2468.82,461.042,-2511.499934
1465,263.236,385.324,130.525,261.643,392.523,116.936,260.593,381.015,99.8712,260.081,405.672,92.6835,259.034,401.872,86.3118,148.18,51.1974,324.366,-328.3816008,-3809.63,2672.97,-750.795,-2776.411668
1466,263.104,386.33,131.394,261.396,393.8,118.481,260.568,382.859,101.329,260.793,406.636,94.2609,260.143,402.616,89.3777,110.951,74.4909,306.591,-315.5105949,-3722.91,2329.35,-1777.48,-2930.06938
1467,262.869,387.247,132.321,261.059,395.04,120.02,260.525,384.492,102.732,261.491,407.423,95.7277,260.92,403.516,92.1818,77.7274,89.9047,280.411,-294.471024,-3322.36,1541.38,-2617.99,-3038.046073
