Frame,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X5',Y5',Z5',yz_combined_velocity,X5'',Y5'',Z5'',yz_combined_acceleration
1,-189.328,136.195,142.171,-183.313,134.648,125.016,-180.172,131.681,100.155,-192.731,153.01,86.5116,-189.523,154.268,66.3397,,,,,,,,
2,-189.226,136.452,142.235,-183.272,135.002,125.085,-180.162,132.185,100.217,-192.722,153.634,86.5903,-189.518,155.034,66.4091,0.478327,76.6292,6.94767,76.94351442,,,,
3,-189.17,136.712,142.299,-183.212,135.338,125.134,-180.175,132.728,100.249,-192.721,154.296,86.6463,-189.507,155.797,66.4684,1.11163,76.2925,5.92247,76.52203086,63.3299,-33.6766,-102.52,125.120502
4,-189.107,137.009,142.345,-183.164,135.679,125.183,-180.202,133.29,100.267,-192.658,154.94,86.7179,-189.461,156.573,66.5416,4.62681,77.5412,7.32765,77.88666222,351.518,124.872,140.518,398.6266788
5,-189.025,137.296,142.373,-183.145,136.065,125.222,-180.222,133.815,100.298,-192.635,155.557,86.8007,-189.496,157.368,66.5773,-3.47048,79.5484,3.56957,79.62844826,-809.729,200.719,-375.807,914.9754487
6,-188.948,137.531,142.48,-183.097,136.401,125.305,-180.256,134.357,100.353,-192.555,156.184,86.8705,-189.497,158.147,66.6242,-0.114739,77.9122,4.68642,78.05301686,335.574,-163.615,111.684,389.6833247
7,-188.878,137.785,142.638,-183.092,136.779,125.423,-180.286,134.869,100.447,-192.527,156.813,86.9872,-189.452,158.886,66.7301,4.46737,73.8502,10.5895,74.60555978,458.211,-406.206,590.31,850.5448436
8,-188.792,137.966,142.805,-183.02,137.035,125.609,-180.314,135.311,100.607,-192.482,157.337,87.1791,-189.423,159.582,66.9011,2.95937,69.6182,17.1006,71.68768577,-150.8,-423.193,651.106,791.0575064
9,-188.77,138.163,143.023,-182.983,137.279,125.831,-180.316,135.697,100.776,-192.343,157.844,87.3395,-189.398,160.254,67.0367,2.46316,67.2489,13.5623,68.60284639,-49.6209,-236.928,-353.828,428.7089508
10,-188.648,138.236,143.166,-182.91,137.453,125.968,-180.299,136.081,100.89,-192.233,158.314,87.4624,-189.321,160.92,67.1554,7.6592,66.5456,11.8658,67.59522238,519.604,-70.3335,-169.65,551.1045641
11,-188.483,138.291,143.278,-182.741,137.588,126.083,-180.257,136.368,100.975,-192.146,158.738,87.6672,-189.21,161.49,67.3321,11.1833,57.0074,17.6735,59.6841374,352.412,-953.823,580.773,1171.012302
12,-188.348,138.317,143.365,-182.634,137.661,126.161,-180.094,136.538,101.048,-191.892,159.081,87.8151,-189.142,162.119,67.4657,6.76364,62.9157,13.3604,64.31862557,-441.968,590.831,-431.314,854.6629454
13,-188.156,138.329,143.438,-182.45,137.754,126.208,-179.987,136.748,101.082,-191.655,159.433,87.9738,-189.077,162.788,67.6199,6.47306,66.86,15.4153,68.61407344,-29.0573,394.434,205.487,445.6987931
14,-187.941,138.374,143.492,-182.303,137.859,126.264,-179.91,137.01,101.125,-191.485,159.844,88.1541,-188.977,163.468,67.7582,10.0493,68.0581,13.838,69.45066752,357.628,119.805,-157.729,408.8147036
15,-187.776,138.419,143.59,-182.148,137.99,126.335,-179.807,137.324,101.191,-191.254,160.292,88.2537,-188.896,164.158,67.8394,8.08984,68.97,8.11219,69.44543561,-195.95,91.1951,-572.577,612.0109229
16,-187.573,138.506,143.654,-181.991,138.155,126.401,-179.747,137.68,101.227,-191.207,160.772,88.3362,-188.853,164.841,67.9436,4.29899,68.3606,10.4286,69.15148104,-379.086,-60.9457,231.639,448.4163245
17,-187.379,138.605,143.716,-181.846,138.348,126.472,-179.671,137.99,101.264,-190.975,161.203,88.4549,-188.75,165.494,68.0772,10.3042,65.2432,13.3537,66.59576901,600.517,-311.732,292.51,737.1293016
